City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,Clyde River,70.4692,-68.5914,10.63,85,100,6.91,CA,2022-04-07 14:30:57
214,Lasa,46.6166,10.7002,60.69,82,95,5.61,IT,2022-04-07 14:30:58
215,Klaksvik,62.2266,-6.589,38.32,73,100,34.0,FO,2022-04-07 14:30:58
216,Camabatela,-8.1881,15.375,74.35,79,53,2.95,AO,2022-04-07 14:30:58
217,Antalaha,-14.9003,50.2788,78.46,90,91,8.81,MG,2022-04-07 14:30:59
218,Hofn,64.2539,-15.2082,35.62,38,20,17.27,IS,2022-04-07 14:30:59
219,Cibitoke,-2.8833,29.25,68.14,80,96,1.92,BI,2022-04-07 14:30:59
220,Cap-Aux-Meules,47.3821,-61.8597,39.25,81,75,11.5,CA,2022-04-07 14:31:00
221,Marawi,7.9986,124.2928,69.58,96,100,1.41,PH,2022-04-07 14:31:00
222,Sisimiut,66.9395,-53.6735,15.57,73,8,11.39,GL,2022-04-07 14:31:00
223,Newcastle,-32.9272,151.7765,67.71,97,100,2.3,AU,2022-04-07 14:30:53
224,Sorland,67.667,12.6934,37.26,70,0,13.8,NO,2022-04-07 14:31:01
225,Westlock,54.1502,-113.8688,31.1,56,100,10.38,CA,2022-04-07 14:31:01
226,Langham,52.3668,-106.9679,36.01,80,99,5.59,CA,2022-04-07 14:31:01
227,Otradnoye,59.7775,30.8181,43.03,99,100,7.47,RU,2022-04-07 14:31:02
228,Puerto Ayora,-0.7393,-90.3518,80.56,80,65,7.94,EC,2022-04-07 14:26:43
229,Soure,-0.7167,-48.5233,78.35,87,99,7.18,BR,2022-04-07 14:26:07
230,Caxito,-8.5785,13.6643,89.55,58,42,7.05,AO,2022-04-07 14:32:02
231,Manassas Park,38.784,-77.4697,51.75,94,100,5.99,US,2022-04-07 14:32:02
232,Saint Anthony,45.0205,-93.218,37.33,93,100,16.11,US,2022-04-07 14:30:44
233,Lasem,-6.6922,111.4527,77.05,87,100,2.93,ID,2022-04-07 14:32:03
234,Santa Fe,-31.6333,-60.7,73.99,85,77,1.99,AR,2022-04-07 14:27:49
235,Petropavlovsk-Kamchatskiy,53.0452,158.6483,30.79,100,100,6.71,RU,2022-04-07 14:32:03
236,Tessalit,20.1986,1.0114,104.61,5,0,11.34,ML,2022-04-07 14:32:04
237,Junnar,19.2,73.8833,86.65,22,20,7.34,IN,2022-04-07 14:32:04
238,Esso,55.9333,158.7,23.94,98,100,3.49,RU,2022-04-07 14:32:04
239,Upernavik,72.7868,-56.1549,5.34,91,88,4.09,GL,2022-04-07 14:32:04
240,Northam,51.0333,-4.2167,52.66,75,14,26.15,GB,2022-04-07 14:32:05
241,Sitka,57.0531,-135.33,44.49,61,100,24.16,US,2022-04-07 14:32:05
242,Copiapo,-27.3667,-70.3333,58.69,12,0,6.58,CL,2022-04-07 14:32:05
243,Pisco,-13.7,-76.2167,70.02,83,35,4.61,PE,2022-04-07 14:32:06
244,Gat,31.61,34.7642,82.4,40,93,2.44,IL,2022-04-07 14:32:06
245,Kodiak,57.79,-152.4072,27.91,93,100,3.44,US,2022-04-07 14:32:06
246,Kaniama,-7.5667,24.1833,76.84,77,68,1.12,CD,2022-04-07 14:32:07
247,Strezhevoy,60.7333,77.5889,30.65,90,88,4.54,RU,2022-04-07 14:32:07
248,Port Elizabeth,-33.918,25.5701,67.1,59,20,25.32,ZA,2022-04-07 14:27:25
249,Fortuna,40.5982,-124.1573,45.52,100,0,10.36,US,2022-04-07 14:31:01
250,Sosnogorsk,63.6023,53.8817,27.95,90,100,6.26,RU,2022-04-07 14:32:07
251,Northborough,42.3195,-71.6412,49.59,74,100,1.99,US,2022-04-07 14:32:08
252,Iberia,29.9502,-91.7507,64.06,42,0,12.66,US,2022-04-07 14:32:08
253,Kiunga,-6.1219,141.2906,72.97,99,100,1.97,PG,2022-04-07 14:32:08
254,Avarua,-21.2078,-159.775,80.65,83,40,5.75,CK,2022-04-07 14:32:09
255,Verkhnyaya Sinyachikha,57.976,61.6673,32.85,75,47,9.95,RU,2022-04-07 14:32:09
256,Port-Gentil,-0.7193,8.7815,81.57,82,77,16.35,GA,2022-04-07 14:32:09
257,Nalut,30.3333,10.85,81.93,11,2,13.2,LY,2022-04-07 14:32:09
258,Carnarvon,-24.8667,113.6333,77.07,83,98,11.5,AU,2022-04-07 14:32:10
259,Gallup,35.5281,-108.7426,30.96,30,0,0.0,US,2022-04-07 14:27:59
260,Port-Cartier,50.0334,-66.8654,41.11,94,60,2.68,CA,2022-04-07 14:32:10
261,Imperia,43.9667,7.7833,69.1,78,48,5.68,IT,2022-04-07 14:32:10
262,Chernyshevskiy,63.0128,112.4714,21.96,95,100,8.66,RU,2022-04-07 14:32:11
263,Orlik,52.5178,99.825,25.66,86,12,3.85,RU,2022-04-07 14:32:11
264,Sur,22.5667,59.5289,85.5,47,2,3.6,OM,2022-04-07 14:32:11
